QSO_ID Z_EM Z_LLS TAU TAU_ERR LOG_NHI LOG_NHI_ERR_LOW LOG_NHI_ERR_HIGH SAMPLE INSTRUMENT
J0944+2554 2.91 2.235 2.98 -99.0 17.67 -99.0 -99.0 R1,R2 STIS
J0944+2554 2.91 1.466 1.33 0.32 17.33 0.12 0.09 LQ STIS
J0948+4323 1.892 1.235 3.0 -99.0 17.68 -99.0 -99.0 DLA STIS
B0953+5454 2.584 2.510 4.0 -99.0 17.8 -99.0 -99.0 R1,R2 FOS-H
J0953-0038 1.382 1.016 2.3 -99.0 17.56 -99.0 -99.0 R1,R2 STIS
B0958+5509 1.75 1.733 5.31 -99.0 17.93 -99.0 -99.0 Prox FOS-H
J1001+5553A 1.413 1.392 4.57 -99.0 17.86 -99.0 -99.0 Prox STIS
J1001+5553B 1.413 1.392 4.68 -99.0 17.87 -99.0 -99.0 Prox,GL STIS
J1008-0018 1.35 1.196 1.13 0.06 17.26 0.03 0.02 R1 STIS
J1009+0036 1.702 0.973 2.17 -99.0 17.54 -99.0 -99.0 MgII STIS
J1009-0026 1.244 1.145 0.48 0.08 16.88 0.08 0.07 PLLS STIS
J1009-0026 1.244 1.118 0.33 0.07 16.72 0.11 0.08 PLLS STIS
J1009-0026 1.244 0.889 1.87 -99.0 17.47 -99.0 -99.0 MgII STIS
J1009-0026 1.244 0.843 -99.0 -99.0 -99.0 -99.0 -99.0 MgII,Blue STIS
J1010+0003 1.399 1.266 3.12 -99.0 17.69 -99.0 -99.0 MgII STIS
J1010-0047 1.671 1.328 3.58 -99.0 17.75 -99.0 -99.0 MgII STIS
J1011+1304 1.287 0.900 1.36 0.11 17.34 0.04 0.03 R1 FOS-L
B1017+2759 1.928 1.608 1.52 0.05 17.39 0.02 0.01 R1 FOS-H
J1017+5356 1.4 1.307 3.13 -99.0 17.69 -99.0 -99.0 DLA STIS
J1022+0101 1.563 1.560 2.09 0.11 17.52 0.02 0.03 Prox STIS
J1022+0101 1.563 1.427 1.89 -99.0 17.48 -99.0 -99.0 MgII STIS
