QSO_ID QSO_RA QSO_DEC Z_EM R1_ZMIN R1_ZMAX R2_ZMIN R2_ZMAX
J0137-2430 24.4096241 -24.51491737 0.831 0.79 0.813 0.738 0.813
J0138-0005 24.60623932 -0.09277 1.34 1.219 1.317 1.112 1.317
J0139-0023 24.91110039 -0.39660999 1.384 1.082 1.36 1.082 1.36
J0141-0024 25.34587479 -0.40602219 2.611 2.215 2.464 2.215 2.464
J0144+3411 26.04908371 34.19895172 1.45 0.765 1.385 0.765 1.39
J0148+3854 27.1016674 38.9011116 1.442 -99.0 -99.0 1.215 1.418
J0152-2001 28.11371231 -20.01869202 2.147 1.447 1.658 1.447 1.658
J0153+0009 28.32542038 0.15323 0.837 0.793 0.819 0.793 0.819
J0153+0052 28.28767014 0.88066 1.163 1.053 1.141 1.053 1.141
J0157-0048 29.39093971 -0.80673999 1.545 1.411 1.52 1.411 1.52
J0208-0503 32.0124588 -5.05000257 1.85 1.072 1.822 1.072 1.822
J0235-0402 38.78025055 -4.03494453 1.438 0.497 1.414 0.497 1.414
J0240-1851 40.13566589 -18.86423874 0.631 0.257 0.615 0.242 0.615
J0241-1514 40.48541641 -15.24501133 2.786 -99.0 -99.0 2.198 2.474
J0251+4315 42.89412689 43.2543602 1.31 0.871 1.287 0.771 1.287
J0256-0126 44.0688324 -1.44372225 0.879 0.814 0.86 0.814 0.86
J0304-0008 46.20758438 -0.1371111 3.29 2.112 2.476 0.919 2.476
J0318-2012 49.60499954 -20.20541382 2.869 -99.0 -99.0 2.084 2.473
J0336-3607 54.03866577 -36.12591553 1.093 -99.0 -99.0 0.871 1.072
J0351-1429 57.86916733 -14.48586082 0.614 0.487 0.598 0.487 0.598
J0354-2724 58.52320862 -27.40559769 2.823 -99.0 -99.0 1.858 2.474
J0357-4812 59.34125137 -48.20416641 1.016 0.511 0.996 0.504 0.996
J0411-4956 62.75350189 -49.94899368 0.817 0.785 0.799 0.785 0.799
J0423-0120 65.8156662 -1.34279442 0.915 0.839 0.896 0.805 0.896
J0436-5258 69.21162415 -52.98015976 1.231 0.263 0.881 0.259 0.881
J0439-2422 69.78883362 -24.3690033 0.84 0.819 0.822 0.754 0.822
J0440-5248 70.04975128 -52.80508041 1.053 0.264 0.881 0.261 0.881
J0441-4313 70.3219986 -43.22883987 0.593 0.262 0.577 0.259 0.577
J0448-2044 72.24504089 -20.74602699 1.896 1.457 1.74 0.58 1.746
J0452-1640 73.05928802 -16.67132187 2.6 1.008 2.474 1.008 2.474
J0453-1305 73.3061676 -13.09884453 2.3 2.068 2.267 2.068 2.267
J0504-2944 76.07924652 -29.74419785 0.552 0.256 0.536 0.255 0.536
J0514-3326 78.5449295 -33.43958282 1.569 1.131 1.543 1.131 1.543
