# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
4.670 0.575 211 23 0.109 0.086 0.131 0.069 0.157 0.633 0.582 0.881 0.474 1.105
4.680 0.574 200 20 0.100 0.078 0.122 0.061 0.148 0.607 0.557 0.867 0.443 1.114
4.690 0.574 195 19 0.097 0.075 0.119 0.059 0.146 0.602 0.552 0.867 0.442 1.107
4.700 0.574 191 19 0.099 0.077 0.122 0.060 0.149 0.615 0.560 0.879 0.444 1.119
4.710 0.573 181 18 0.099 0.076 0.122 0.059 0.150 0.595 0.541 0.852 0.427 1.097
4.720 0.572 175 18 0.103 0.079 0.126 0.061 0.155 0.617 0.560 0.889 0.444 1.159
4.730 0.572 168 17 0.101 0.077 0.125 0.059 0.154 0.617 0.561 0.908 0.437 1.181
4.740 0.571 162 17 0.104 0.079 0.129 0.061 0.160 0.639 0.576 0.939 0.451 1.208
4.750 0.570 156 17 0.109 0.083 0.135 0.063 0.166 0.666 0.604 0.974 0.474 1.283
4.760 0.570 151 17 0.112 0.085 0.139 0.065 0.171 0.686 0.621 1.010 0.488 1.303
