# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
2.730 0.726 5217 348 0.067 0.063 0.070 0.060 0.074 0.470 0.477 0.555 0.447 0.603
2.740 0.725 5209 350 0.067 0.064 0.071 0.060 0.074 0.471 0.479 0.556 0.448 0.606
2.750 0.724 5199 349 0.067 0.064 0.071 0.060 0.074 0.474 0.483 0.561 0.451 0.608
2.760 0.722 5180 351 0.068 0.064 0.071 0.061 0.075 0.470 0.477 0.554 0.446 0.600
2.770 0.721 5169 352 0.068 0.064 0.072 0.061 0.075 0.471 0.480 0.556 0.449 0.603
2.780 0.720 5152 351 0.068 0.065 0.072 0.061 0.075 0.470 0.476 0.553 0.446 0.600
2.790 0.719 5136 344 0.067 0.063 0.071 0.060 0.074 0.466 0.472 0.549 0.440 0.597
2.800 0.717 5107 340 0.067 0.063 0.070 0.060 0.074 0.463 0.470 0.547 0.438 0.592
2.810 0.716 5093 341 0.067 0.063 0.071 0.060 0.074 0.472 0.479 0.558 0.446 0.604
2.820 0.715 5066 344 0.068 0.064 0.072 0.061 0.075 0.475 0.482 0.560 0.450 0.607
2.830 0.713 5038 343 0.068 0.064 0.072 0.061 0.075 0.480 0.486 0.564 0.455 0.610
2.840 0.713 5028 346 0.069 0.065 0.072 0.062 0.076 0.483 0.491 0.570 0.459 0.618
2.850 0.711 4995 347 0.069 0.066 0.073 0.062 0.077 0.486 0.493 0.572 0.461 0.618
2.860 0.710 4966 349 0.070 0.067 0.074 0.063 0.078 0.493 0.501 0.580 0.468 0.630
2.870 0.708 4926 349 0.071 0.067 0.075 0.064 0.078 0.494 0.502 0.582 0.470 0.629
2.880 0.707 4907 354 0.072 0.068 0.076 0.065 0.080 0.502 0.510 0.589 0.476 0.637
2.890 0.705 4859 352 0.072 0.069 0.076 0.065 0.080 0.507 0.517 0.597 0.484 0.645
2.900 0.705 4846 357 0.074 0.070 0.078 0.066 0.082 0.520 0.528 0.611 0.494 0.662
2.910 0.704 4814 356 0.074 0.070 0.078 0.066 0.082 0.519 0.528 0.610 0.495 0.658
2.920 0.702 4774 351 0.074 0.070 0.077 0.066 0.081 0.505 0.513 0.593 0.480 0.642
2.930 0.701 4738 348 0.073 0.070 0.077 0.066 0.081 0.508 0.518 0.600 0.485 0.648
2.940 0.700 4685 347 0.074 0.070 0.078 0.066 0.082 0.512 0.521 0.603 0.489 0.653
2.950 0.699 4658 348 0.075 0.071 0.079 0.067 0.083 0.517 0.527 0.609 0.492 0.658
2.960 0.698 4619 353 0.076 0.072 0.080 0.069 0.085 0.530 0.540 0.624 0.507 0.673
2.970 0.697 4588 348 0.076 0.072 0.080 0.068 0.084 0.525 0.535 0.619 0.502 0.668
2.980 0.695 4515 341 0.076 0.071 0.080 0.068 0.084 0.515 0.525 0.610 0.492 0.660
