nu			f_nu
3.67611798551e+14 3.12262146319e-15
3.67696473275e+14 3.05154771228e-15
3.67781141897e+14 3.08828824358e-15
3.67865849521e+14 2.94068356585e-15
3.67950596174e+14 3.02959962127e-15
3.68035336701e+14 3.16613267299e-15
3.68120071067e+14 3.17392241846e-15
3.68204799237e+14 3.24930864997e-15
3.68289611662e+14 3.16843090699e-15
3.68374417903e+14 3.10755771845e-15
3.6845926321e+14 3.06999198571e-15
3.68544102304e+14 3.18732044744e-15
3.68628980475e+14 3.12099180647e-15
3.68713852404e+14 3.1177205329e-15
3.68798763423e+14 3.30887733185e-15
3.68883713559e+14 3.34969899103e-15
3.68968657429e+14 3.25361591557e-15
3.69053640428e+14 3.03406543288e-15
3.69138617131e+14 3.08046901788e-15
3.69223587503e+14 3.06509809349e-15
3.69308642495e+14 3.05305554203e-15
3.69393691169e+14 2.9760457057e-15
3.69478733487e+14 3.07850942535e-15
3.69563814971e+14 3.15448586682e-15
3.69648935648e+14 3.21938418091e-15
3.69734049946e+14 3.28313439638e-15
3.6981920345e+14 3.04800417196e-15
3.69904396186e+14 3.00963832988e-15
3.6998958252e+14 3.23254593908e-15
3.70074762414e+14 3.27860587065e-15
3.70159981538e+14 3.22155446455e-15
3.7024523992e+14 3.1163270974e-15
3.70330491838e+14 3.03419248596e-15
3.70415737258e+14 3.20401028193e-15
3.7050106772e+14 3.25107859655e-15
3.70586391696e+14 2.94362738807e-15
3.7067175498e+14 2.99186459087e-15
3.70757065895e+14 3.14716633462e-15
3.70842507834e+14 3.26737183454e-15
3.70927897375e+14 3.13083594667e-15
3.71013280332e+14 3.08065758491e-15
3.71098702607e+14 3.27055386456e-15
3.71184164227e+14 3.21599321183e-15
3.71269665217e+14 3.0906292814e-15
3.71355113607e+14 3.07978265153e-15
3.7144069338e+14 3.1288404148e-15
3.71526220522e+14 3.10056768348e-15
3.71611787059e+14 3.09299260584e-15
3.71697346934e+14 3.12783800684e-15
3.71782946217e+14 3.17786876556e-15
3.71868584935e+14 3.41583300246e-15
3.71954170818e+14 3.34404938923e-15
3.72039842275e+14 3.15400719366e-15
3.72125507015e+14 3.23539728672e-15
3.72211257427e+14 3.18873602266e-15
3.72296954899e+14 3.23752386908e-15
3.72382691843e+14 3.24833132132e-15
3.72468468285e+14 3.13999416302e-15
3.72554191657e+14 3.16383733542e-15
3.72640000815e+14 3.21577888924e-15
3.72725803171e+14 3.19630170757e-15
3.72811645049e+14 3.11196822979e-15
3.72897480092e+14 3.2157265448e-15
3.7298335467e+14 3.21139463816e-15
3.73069268809e+14 3.17358893107e-15
3.73155222537e+14 3.23294234085e-15
3.73241076475e+14 3.21350807516e-15
3.73327016418e+14 3.25445030186e-15
3.73413042457e+14 3.1488155045e-15
3.73499015086e+14 3.10896871653e-15
3.73585027312e+14 3.15098761225e-15
3.73671079163e+14 3.16391284717e-15
3.73757124067e+14 3.15101210201e-15
3.73843208608e+14 3.33377645982e-15
3.73929286172e+14 3.31113688642e-15
3.74015356723e+14 3.20796095693e-15
3.74101466906e+14 3.1950612308e-15
3.74187663454e+14 3.2111453741e-15
3.74273806279e+14 3.01804561668e-15
3.74360035524e+14 3.1371183815e-15
3.74446210972e+14 3.21214556953e-15
3.74532472895e+14 3.18534461623e-15
3.74618727759e+14 3.12109587325e-15
3.74705022361e+14 3.19602384121e-15
3.74791309874e+14 3.3265043999e-15
3.74877543382e+14 3.38309360057e-15
3.74963910379e+14 3.30604476955e-15
3.75050270261e+14 3.20236233194e-15
3.7513662299e+14 3.20021555811e-15
3.75223015492e+14 3.35280162728e-15
3.75309447795e+14 3.29830661431e-15
3.75395825914e+14 3.23106787225e-15
3.7548229083e+14 3.27365800681e-15
3.75568795586e+14 3.55589434896e-15
3.75655246067e+14 3.63236688924e-15
3.7574178345e+14 3.59063574443e-15
3.75828266482e+14 3.34471325241e-15
3.7591483647e+14 3.27444342239e-15
3.76001399192e+14 3.20423806945e-15
3.76088001788e+14 3.29876139521e-15
3.76174597086e+14 3.28806888994e-15
3.7626123227e+14 3.27951841324e-15
3.76347907369e+14 3.35795139697e-15
3.76434527875e+14 3.30272159272e-15
3.76521235553e+14 3.32383888266e-15
3.76607935874e+14 3.28350447628e-15
3.76694676132e+14 3.23048915719e-15
3.76781409002e+14 3.2071676623e-15
3.76868229196e+14 3.25051306067e-15
3.76954994616e+14 3.28217710929e-15
3.77041799996e+14 3.25674791175e-15
3.77128597923e+14 3.30001001918e-15
3.77215435823e+14 3.42242722393e-15
3.77302313722e+14 3.49405800775e-15
3.77389184142e+14 3.48123523836e-15
3.77476142102e+14 3.2606881349e-15
3.77563045043e+14 3.31122341096e-15
3.77649988008e+14 3.35749704881e-15
3.77736971023e+14 3.32053745994e-15
3.77823898883e+14 3.40360296138e-15
3.77910962038e+14 3.50868251795e-15
3.77997922346e+14 3.4664353138e-15
3.78085018048e+14 3.36012840628e-15
3.78172106192e+14 3.25495928711e-15
3.78259186737e+14 3.28745338935e-15
3.78346259648e+14 3.11733617669e-15
3.78433420425e+14 3.14251756241e-15
3.78520525786e+14 3.2085747655e-15
3.78607719069e+14 3.34899112357e-15
3.78694904695e+14 3.36669571094e-15
3.78782082626e+14 3.23882936076e-15
3.78869348585e+14 3.19794842384e-15
3.78956558958e+14 3.2554546652e-15
3.79043905338e+14 3.31499683891e-15
3.79131148153e+14 3.2689205999e-15
3.79218479106e+14 3.24690533323e-15
3.7930580231e+14 3.27921578174e-15
3.79393117727e+14 3.37622597014e-15
3.79480473352e+14 3.33958293338e-15
3.79567869215e+14 3.40935858886e-15
3.79655305341e+14 3.38628331586e-15
3.79742733659e+14 3.47993651301e-15
3.79830202253e+14 3.41414890467e-15
3.79917614858e+14 3.42858826217e-15
3.80005164043e+14 3.40658362577e-15
3.80092657206e+14 3.43141120063e-15
3.80180190668e+14 3.44477987575e-15
3.80267764456e+14 3.42487475462e-15
3.80355282085e+14 3.57324966396e-15
3.80442936565e+14 3.47337771347e-15
3.80530486552e+14 3.3715239907e-15
3.8061817349e+14 3.32057123938e-15
3.80705804157e+14 3.32151004181e-15
3.80793475185e+14 3.36700333114e-15
3.8088113821e+14 3.48391911276e-15
3.80968841607e+14 3.48477909655e-15
3.81056585403e+14 3.43907275236e-15
3.81144321169e+14 3.4699456321e-15
3.81232145825e+14 3.47184135516e-15
3.81319865459e+14 3.35179281706e-15
3.81407722518e+14 3.18539393676e-15
3.81495522978e+14 3.19670881093e-15
3.81583363871e+14 3.20491652503e-15
3.81671293815e+14 3.21517771529e-15
3.81759167067e+14 3.18316071679e-15
3.8184708079e+14 3.19754401168e-15
3.81934986354e+14 3.19131364719e-15
3.82022981083e+14 3.22112096674e-15
3.8211091896e+14 3.09963954562e-15
3.82198946058e+14 3.17883268701e-15
3.82286964974e+14 3.23944663491e-15
3.8237497567e+14 3.3092533599e-15
3.824630269e+14 3.30402173336e-15
3.82551069875e+14 3.3203450632e-15
3.8263925107e+14 3.31203152531e-15
3.82727326346e+14 3.30576836805e-15
3.82815442178e+14 3.3312935546e-15
3.82903598592e+14 3.39882149452e-15
3.82991795619e+14 3.34540447602e-15
3.83079984334e+14 3.34528753377e-15
3.83168213672e+14 3.27556878774e-15
3.83256434664e+14 3.2499098207e-15
3.8334469629e+14 3.29482244273e-15
3.83432998578e+14 3.31208902594e-15
3.83521292492e+14 3.27725281581e-15
3.83609577992e+14 3.32413148941e-15
3.83697904148e+14 3.38014086537e-15
3.83786320119e+14 3.41162458475e-15
3.83874678538e+14 3.39617708529e-15
3.83963077653e+14 3.35526376043e-15
3.8405151749e+14 3.30724602562e-15
3.84139948856e+14 3.40081509889e-15
3.84228420956e+14 3.33552772334e-15
3.8431688455e+14 3.33337178729e-15
3.84405438179e+14 3.39730885312e-15
3.84493934e+14 3.2904415296e-15
3.84582470577e+14 3.29440227196e-15
3.8467099858e+14 3.33186772582e-15
3.8475961673e+14 3.29723580798e-15
3.84848176912e+14 3.33973660085e-15
3.84936827299e+14 3.32034180793e-15
3.85025469087e+14 3.39522408225e-15
3.85114151708e+14 3.42444794353e-15
3.85202875192e+14 3.40605119343e-15
3.85291491013e+14 3.38768303819e-15
3.85380246696e+14 3.34908531653e-15
3.85468993717e+14 3.3964758679e-15
3.85557781621e+14 3.42360679871e-15
3.85646610437e+14 3.33656014102e-15
3.85735331299e+14 3.33037022221e-15
3.858241923e+14 3.32014582853e-15
3.85912994898e+14 3.26151508257e-15
3.86001937784e+14 3.31183495126e-15
3.86090822231e+14 3.33591234177e-15
3.86179747622e+14 3.3156267706e-15
3.86268664216e+14 3.36284065161e-15
3.86357571974e+14 3.33450843467e-15
3.86446570484e+14 3.31224704879e-15
3.86535560168e+14 3.2729000526e-15
3.86624590845e+14 3.31200195743e-15
3.86713612662e+14 3.35105761715e-15
3.86802675483e+14 3.3057293144e-15
3.86891729407e+14 3.34576448308e-15
3.86980874299e+14 3.40381068122e-15
3.8706996033e+14 3.40665665322e-15
3.87159087387e+14 3.39847250451e-15
3.87248255498e+14 3.29611243928e-15
3.87337414648e+14 3.33405345326e-15
3.8742666493e+14 3.28786212663e-15
3.8751585617e+14 3.2567323408e-15
3.87605088486e+14 3.21162882639e-15
3.87694361905e+14 3.25153484463e-15
3.87783626298e+14 3.3083899153e-15
3.87872931804e+14 3.29028793923e-15
3.87962228248e+14 3.30514487036e-15
3.88051565817e+14 3.30701572578e-15
3.8814094454e+14 3.26799300375e-15
3.88230364445e+14 3.26489275991e-15
3.88319724962e+14 3.26378885955e-15
3.88409176948e+14 3.28858900278e-15
3.8849861981e+14 3.30141014907e-15
3.88588053507e+14 3.32516477233e-15
3.88677578781e+14 3.32602016138e-15
3.88767044486e+14 3.37061701221e-15
3.88856601824e+14 3.39828842717e-15
3.88946149972e+14 3.38520255896e-15
3.89035739373e+14 3.35227257993e-15
3.89125269039e+14 3.29755296497e-15
3.89214890454e+14 3.21510035787e-15
3.89304502606e+14 3.26062190029e-15
3.89394156031e+14 3.30311781069e-15
3.89483850759e+14 3.28317386572e-15
3.89573536194e+14 3.3087986852e-15
3.89663262941e+14 3.33835709789e-15
3.8975303103e+14 3.31347665071e-15
3.89842789795e+14 3.33806120708e-15
3.89932539193e+14 3.29245135917e-15
3.90022329926e+14 3.32294814918e-15
3.9011216202e+14 3.33465742535e-15
3.90201984718e+14 3.32858294468e-15
3.90291797977e+14 3.33337384648e-15
3.90381703425e+14 3.38351074313e-15
3.90471599445e+14 3.34983664181e-15
3.90561536876e+14 3.20881626108e-15
3.90651464843e+14 3.17919054758e-15
3.90741434232e+14 3.20666922996e-15
3.90831445071e+14 3.18985722683e-15
3.90921446414e+14 3.21042210626e-15
3.91011387221e+14 3.25553740053e-15
3.91101471468e+14 3.27408648161e-15
3.91191546188e+14 3.20916169004e-15
3.91281611338e+14 3.16098011984e-15
3.91371717969e+14 3.18150759847e-15
3.91461866111e+14 3.15593228268e-15
3.91552004652e+14 3.11861990773e-15
3.91642235876e+14 3.15774763466e-15
3.91732406323e+14 3.25070208435e-15
3.91822567091e+14 3.28484007255e-15
3.91912820604e+14 3.22992564453e-15
3.9200301319e+14 3.25132939308e-15
3.92093349861e+14 3.26098272888e-15
3.92183625569e+14 3.32534296389e-15
3.92273994184e+14 3.33885781961e-15
3.92364250399e+14 3.24598950734e-15
3.92454650908e+14 3.26342936152e-15
3.92545041683e+14 3.25745097203e-15
3.9263537126e+14 3.29534706178e-15
3.92725845312e+14 3.27474461102e-15
3.92816258128e+14 3.29409476933e-15
3.92906712583e+14 3.31244304785e-15
3.92997208706e+14 3.27922254701e-15
3.93087746525e+14 3.18866042536e-15
3.93178222939e+14 3.1943951878e-15
3.93268792602e+14 3.13795668672e-15
3.93359300774e+14 3.09321368006e-15
3.93449953889e+14 3.13393204575e-15
3.93540493815e+14 3.16103220264e-15
3.9363117879e+14 3.14931636144e-15
3.93721802151e+14 3.20835848866e-15
3.9381246725e+14 3.26251085221e-15
3.93903174114e+14 3.25076309801e-15
3.93993870994e+14 3.26128825762e-15
3.94084609649e+14 3.27664008832e-15
3.94175338282e+14 3.25039513868e-15
3.94266108701e+14 3.29376771561e-15
3.94356920934e+14 3.32453944288e-15
3.94447723112e+14 3.33307157974e-15
3.94538567115e+14 3.3058803905e-15
3.94629401025e+14 3.30958797271e-15
3.9472032874e+14 3.30268219586e-15
3.94811194377e+14 3.30253091775e-15
3.94902153878e+14 3.32357437018e-15
3.94993103257e+14 3.24830447997e-15
3.95084042473e+14 3.2568394794e-15
3.95175023572e+14 3.2605548488e-15
3.95265994469e+14 3.20560262656e-15
3.95357007259e+14 3.23241685467e-15
3.95448061972e+14 3.2745688732e-15
3.95539158636e+14 3.35029422936e-15
3.95630192859e+14 3.36932401418e-15
3.95721268996e+14 3.33267501521e-15
3.95812491591e+14 3.27976267118e-15
3.95903599406e+14 3.22113936211e-15
3.9599480148e+14 3.16928490345e-15
3.96085940921e+14 3.17014426525e-15
3.96177227033e+14 3.22653231124e-15
3.96268398096e+14 3.23788866631e-15
3.96359715936e+14 3.26358745989e-15
3.96450971019e+14 3.2299839223e-15
3.96542215679e+14 3.19546516653e-15
3.96633554826e+14 3.17721275963e-15
3.9672488356e+14 3.22771141409e-15
3.96816306887e+14 3.15219708449e-15
3.96907667263e+14 3.22936501473e-15
3.96999069717e+14 3.27881441225e-15
3.97090461682e+14 3.27199773595e-15
3.97181948355e+14 3.35757297506e-15
3.97273371903e+14 3.31835675282e-15
3.9736483755e+14 3.2220812231e-15
3.97456345322e+14 3.24382443076e-15
3.97547842533e+14 3.2703104429e-15
3.97639487364e+14 3.25401716573e-15
3.97731016158e+14 3.22253381114e-15
3.97822587098e+14 3.23854759788e-15
3.97914200213e+14 3.28396296245e-15
3.98005855533e+14 3.31605633178e-15
3.98097500222e+14 3.30545669203e-15
3.98189134237e+14 3.27401862624e-15
3.98280863359e+14 3.23218838767e-15
3.98372581816e+14 3.15537568822e-15
3.98464395487e+14 3.16284561267e-15
3.98556092531e+14 3.20341641391e-15
3.98647884799e+14 3.22883014941e-15
3.98739666324e+14 3.23814550126e-15
3.9883154318e+14 3.17566181568e-15
3.98923356219e+14 3.19444282579e-15
3.9901521154e+14 3.17827856693e-15
3.99107109171e+14 3.23288379842e-15
3.99198995985e+14 3.22425833082e-15
3.9929092512e+14 3.2778485396e-15
3.99382896603e+14 3.23247102311e-15
3.99474857235e+14 3.20220927718e-15
3.99566860226e+14 3.23879339641e-15
3.99658905606e+14 3.232062131e-15
3.99750940098e+14 3.19807915139e-15
3.9984296366e+14 3.23085406215e-15
3.99935082953e+14 3.26546627769e-15
4.00027137947e+14 3.21367345615e-15
4.00119235329e+14 3.17882057148e-15
4.00211375126e+14 3.22185975103e-15
4.00303610821e+14 3.23860315169e-15
4.00395782089e+14 3.20659637289e-15
4.00487995812e+14 3.16430399479e-15
4.00580144969e+14 3.2643869812e-15
4.00672443641e+14 3.35127209039e-15
4.00764677707e+14 3.32020546299e-15
4.00857007847e+14 3.21249017404e-15
4.00949326915e+14 3.23012425673e-15
4.01041634868e+14 3.17112786354e-15
4.01133985333e+14 3.17568140007e-15
4.0122637834e+14 3.20356333473e-15
4.01318760196e+14 3.19037120704e-15
4.01411184604e+14 3.21728705599e-15
4.0150359782e+14 3.16868146325e-15
4.01596107394e+14 3.14994012288e-15
4.01688551963e+14 3.20384081423e-15
4.0178109295e+14 3.23349002396e-15
4.01873568842e+14 3.15427213728e-15
4.0196614121e+14 3.15973799742e-15
4.02058702316e+14 3.22562440124e-15
4.02151306059e+14 3.2273349889e-15
4.02243898499e+14 3.23554423703e-15
4.02336533586e+14 3.20755436492e-15
4.0242921135e+14 3.17216706087e-15
4.02521877776e+14 3.16647797348e-15
4.02614586887e+14 3.16265622361e-15
4.02707284618e+14 3.15604909421e-15
4.02800025045e+14 3.19205531917e-15
4.02892754051e+14 3.21506929359e-15
4.02985525761e+14 3.22232318755e-15
4.03078340206e+14 3.23882649792e-15
4.03171143194e+14 3.20170149273e-15
4.03264043169e+14 3.2505348037e-15
4.03356877428e+14 3.23836294801e-15
4.03449754439e+14 3.17267155488e-15
4.03542674231e+14 3.13471943425e-15
4.03635582489e+14 3.16873646311e-15
4.03728533538e+14 3.15570881867e-15
4.03821527408e+14 3.17678345986e-15
4.03914509707e+14 3.13981792668e-15
4.04007534836e+14 3.09828273507e-15
4.04100548353e+14 3.09267008928e-15
4.04193659204e+14 3.05487162608e-15
4.04286703933e+14 3.07226467369e-15
4.04379791509e+14 3.10067605413e-15
4.04472921961e+14 3.11986689967e-15
4.04566040725e+14 3.09864800629e-15
4.04659202375e+14 3.11139795676e-15
4.0475240694e+14 3.11312934235e-15
4.04845654451e+14 3.17537153147e-15
4.0493889024e+14 3.17890334447e-15
4.05032114261e+14 3.17145027189e-15
4.05125381217e+14 3.11547424589e-15
4.05218691135e+14 3.13366729149e-15
4.05311989249e+14 3.10703609081e-15
4.05405330335e+14 3.09687489731e-15
4.05498659575e+14 3.12419704559e-15
4.0559208667e+14 3.10216165281e-15
4.05685501927e+14 3.14406125921e-15
4.05778905301e+14 3.09558279386e-15
4.05872351694e+14 3.05261144013e-15
4.05965841137e+14 3.11544250453e-15
4.0605926366e+14 3.20463383568e-15
4.0615283924e+14 3.2117738815e-15
4.06246347858e+14 3.18795379243e-15
4.06339899543e+14 3.14140459672e-15
4.06433494325e+14 3.13673801901e-15
4.0652702198e+14 3.16297889806e-15
4.06620702994e+14 3.14194728012e-15
4.0671431684e+14 3.11639410214e-15
4.06808029002e+14 3.1371659054e-15
4.06901673904e+14 3.14702941119e-15
4.06995361928e+14 3.14962626262e-15
4.07089093105e+14 3.13499328866e-15
4.07182812161e+14 3.18109152322e-15
4.07276574378e+14 3.15286908679e-15
4.07370379787e+14 3.1572661298e-15
4.07464228416e+14 3.18610178358e-15
4.07558009484e+14 3.18867005645e-15
4.07651944595e+14 3.22830346791e-15
4.07745756644e+14 3.24801979314e-15
4.07839667364e+14 3.2198400805e-15
4.07933565844e+14 3.17363710018e-15
4.08027563105e+14 3.22312955124e-15
4.08121492575e+14 3.22476728376e-15
4.08215465301e+14 3.17321368418e-15
4.08309481313e+14 3.22173546641e-15
4.08403485004e+14 3.25760985299e-15
4.08497587651e+14 3.25112087414e-15
4.08591622298e+14 3.2959475216e-15
4.08685700248e+14 3.34342162165e-15
4.08779821531e+14 3.34590144753e-15
4.08873986177e+14 3.28365851516e-15
4.08968138425e+14 3.31311262007e-15
4.09062334045e+14 3.33804891195e-15
4.09156517223e+14 3.37821087783e-15
4.09250743782e+14 3.39950463125e-15
4.09345013751e+14 3.40015385713e-15
4.0943927124e+14 3.43217198804e-15
4.09533516203e+14 3.42473354809e-15
4.09627860533e+14 3.38865446057e-15
4.09722136349e+14 3.32128300137e-15
4.09816511592e+14 3.32285783794e-15
4.09910874274e+14 3.34052694128e-15
4.10005280421e+14 3.29561250703e-15
4.10099730063e+14 3.29183438358e-15
4.10194167106e+14 3.32288581281e-15
4.102885915e+14 3.35480108364e-15
4.10383059377e+14 3.28141125181e-15
4.10477626969e+14 3.25445790919e-15
4.10572125697e+14 3.26942295513e-15
4.10666667945e+14 3.30219171401e-15
4.10761253744e+14 3.28774080753e-15
4.10855826817e+14 3.25727224784e-15
4.10950443448e+14 3.27843308664e-15
4.11045103669e+14 3.28001798687e-15
4.11139751124e+14 3.29048116706e-15
4.11234442176e+14 3.27250269562e-15
4.1132912042e+14 3.30250469451e-15
4.11423842268e+14 3.31116554876e-15
4.11518607753e+14 3.27368082844e-15
4.11613360389e+14 3.26905215968e-15
4.11708156668e+14 3.32469471566e-15
4.11802940056e+14 3.27574481885e-15
4.11897823688e+14 3.19849858275e-15
4.11992637817e+14 3.2062946283e-15
4.12087495607e+14 3.23709595402e-15
4.12182397087e+14 3.26433035299e-15
4.12277342287e+14 3.20313193446e-15
4.12372274516e+14 3.21621857935e-15
4.12467250473e+14 3.24695544996e-15
4.12562213415e+14 3.21586197792e-15
4.12657220093e+14 3.22098135505e-15
4.12752270539e+14 3.2472616869e-15
4.12847307928e+14 3.28938539632e-15
4.12942389093e+14 3.35437875535e-15
4.13037457157e+14 3.3233127867e-15
4.13132569005e+14 3.28787274385e-15
4.13227781625e+14 3.2551031383e-15
4.13322867187e+14 3.25490730555e-15
4.13418110541e+14 3.24415954082e-15
4.13513283724e+14 3.23430113131e-15
4.13608557801e+14 3.22971966325e-15
4.13703761611e+14 3.22602106093e-15
4.13799009259e+14 3.24778080079e-15
4.13894357917e+14 3.23004097907e-15
4.1398963619e+14 3.22371510379e-15
4.14085015533e+14 3.22265080253e-15
4.14180324392e+14 3.19882426345e-15
4.14275734384e+14 3.2354164937e-15
4.14371131068e+14 3.2142204198e-15
4.14466514397e+14 3.15719119816e-15
4.14561998975e+14 3.19374991899e-15
4.14657412852e+14 3.19358235712e-15
4.14752928038e+14 3.23620373454e-15
